lrt_station_name
Choa Chu Kang
South View
Keat Hong
Teck Whye
Phoenix
Bukit Panjang
Petir
Pending
Bangkit
Fajar
Segar
Jelapang
Senja
Sengkang
Compassvale
Rumbia
Bakau
Kangkar
Ranggung
Cheng Lim
Farmway
Kupang
Thanggam
Fernvale
Layar
Tongkang
Renjong
Punggol
Cove
Meridian
Coral Edge
Riviera
Kadaloor
Oasis
Damai
Sam Kee
Punggol Point
Samudera
Nibong
Sumang
Soo Teck
