,Unnamed: 0,mrt_station_name,latitude,longitude
0,0,Jurong East Station,1.33329506563598,103.742153884191
1,1,Bukit Batok Station,1.35198926999844,103.765415562866
2,2,Bukit Gombak Station,1.35873020505421,103.751912957251
3,3,Choa Chu Kang Station,1.38475541089131,103.74453769781
4,4,Yew Tee Station,1.39712886294116,103.747329717481
5,5,Kranji Station,1.43390313482118,103.730200938261
6,6,Marsiling Station,1.43262603485889,103.774051197031
7,7,Woodlands Station,1.43078794552543,103.76236187132
8,8,Admiralty Station,1.44056973074732,103.80104928343
9,9,Sembawang Station,1.41776765735819,103.825364271098
10,10,Canberra Station,1.44902668521092,103.820139486468
11,11,Yishun Station,1.44416046705727,103.836857004782
12,12,Khatib Station,1.41758906054002,103.833061043125
13,13,Yio Chu Kang Station,1.38188415826174,103.844793732017
14,14,Ang Mo Kio Station,1.3849878525885,103.845627324406
15,15,Bishan Station,1.34828073927366,103.83855935769
16,16,Braddell Station,1.34060469319581,103.847230970681
17,17,Toa Payoh Station,1.33275514947892,103.847580056778
18,18,Novena Station,1.32057815836295,103.843817845501
19,19,Newton Station,1.31259815992611,103.838098898999
20,20,Orchard Station,1.30323261037273,103.832269574478
21,21,Somerset Station,1.30012190987404,103.839594787931
22,22,Dhoby Ghaut Station,1.29865043818251,103.846156122354
23,23,City Hall Station,1.29313884305761,103.85245505145
24,24,Raffles Place Station,1.2843339254004,103.851379780738
25,25,Marina Bay Station,1.27486187654763,103.849094342097
26,26,Marina South Pier Station,1.27102703612006,103.862447515736
27,27,Pasir Ris Station,1.37300805046319,103.949265083922
28,28,Tampines Station,1.35841368694591,103.928980168713
29,29,Simei Station,1.34320821107717,103.95328573703
30,30,Tanah Merah Station,1.3272997361534,103.946871852362
31,31,Bedok Station,1.32398184933569,103.929953736278
32,32,Kembangan Station,1.32106616952557,103.912940761163
33,33,Eunos Station,1.31972715880848,103.903052712029
34,34,Paya Lebar Station,1.3341646156386,103.893687591258
35,35,Aljunied Station,1.31644118834754,103.882964033576
36,36,Kallang Station,1.30936454066679,103.879244977036
37,37,Lavender Station,1.31337862160315,103.861165196035
38,38,Bugis Station,1.3002284964,103.855574927672
39,39,Tanjong Pagar Station,1.27179916703301,103.841115522006
40,40,Outram Park Station,1.27973970679335,103.839513521005
41,41,Tiong Bahru Station,1.28609651428968,103.827321876853
42,42,Redhill Station,1.28933202700544,103.817058256205
43,43,Queenstown Station,1.2883831195166,103.802858171683
44,44,Commonwealth Station,1.30242952850833,103.798330556414
45,45,Buona Vista Station,1.30866262058676,103.787008147798
46,46,Dover Station,1.31139153717332,103.778656381761
47,47,Clementi Station,1.32188264107343,103.761667055736
48,48,Chinese Garden Station,1.34224494823931,103.732766601621
49,49,Lakeside Station,1.34410477510373,103.720301861904
50,50,Boon Lay Station,1.33845148860404,103.705927086646
51,51,Pioneer Station,1.33755128782925,103.696942416972
52,52,Joo Koon Station,1.32768939690059,103.678240022629
53,53,Gul Circle Station,1.31947090075208,103.660530461345
54,54,Tuas Crescent Station,1.32102695598684,103.649078235627
55,55,Tuas West Road Station,1.32998504653102,103.639616648771
56,56,Tuas Link Station,1.34088242451105,103.636991425128
57,57,Expo Station,1.33538252614956,103.962374747451
58,58,Changi Airport Station,1.36978735831026,103.983270740951
59,59,HarbourFront Station,1.26503648642971,103.821686392746
60,60,Chinatown Station,1.28422391919085,103.845143798953
61,61,Clarke Quay Station,1.28871023151727,103.846610945684
62,62,Little India Station,1.30735079237574,103.849953203127
63,63,Farrer Park Station,1.31247324104741,103.853929521964
64,64,Boon Keng Station,1.31959679168634,103.861750715496
65,65,Potong Pasir Station,1.33128580390245,103.86902783214
66,66,Woodleigh Station,1.33982824592182,103.87096088798
67,67,Serangoon Station,1.37573561146694,103.869103471495
68,68,Kovan Station,1.36017917037864,103.885064856353
69,69,Hougang Station,1.37056990400157,103.892269540383
